twitter_username,twitter_userid,domain,name,followers_count,tweet_count
jasonderulo,28076276,smarturl.it,Jason Derulo,3728046,15486
MuratBoz,96185337,,Murat Boz,3725924,694
susoelpaspi,69396376,susoelpaspi.com.co,Suso el Paspi,3724065,43968
ShaneWarne,87118217,shanewarne.com,Shane Warne,3719230,19381
PrincesSyahrini,157998843,,Syahrini,3685958,3293
YosriFouda,189591533,YosriFouda.com,Yosri Fouda,3685031,4212
DJPaulyD,94360081,DJPaulyD.com,DJ Pauly D,3684002,27911
scooterbraun,16679529,scooterbraun.com,Scooter Braun,3673826,32676
RealLamarOdom,28669612,,LAMAR ODOM,3658282,730
AndreaSernaTV,143490635,andreaserna.net,Andrea Serna,3657433,30207
PBiaL,64563165,,Pedro Bial,3657015,1529
notch,63485337,notch.net,Markus Persson,3656027,90024
Torres,394581283,fernando9torres.com,Fernando Torres,3637659,1537
Alyssa_Milano,26642006,Alyssa.com,Alyssa Milano,3635460,75967
MoezMasoud,74694859,,Moez Masoud,3634985,3427
Buenafuente,6809022,andreubuenafuente.com,Andreu Buenafuente,3627255,14500
assihallani,812613596,assielhallani.com,Assi Hallani,3617709,50759
IAmJericho,44527648,chris-jericho.org,Chris Jericho,3610874,70726
eseryenenler,88910796,,Eser YENENLER,3605164,1780
CaioCastro,46011743,,Caio Castro,3574051,3431
JordinSparks,19555067,smarturl.it,Jordin Sparks,3572015,46486
Slash,22832029,slashonline.com,Slash,3564864,14291
HayesGrier,330705266,,Hayes Grier,3563188,8745
andy_murray,14123683,andymurray.com,Andy Murray,3557843,3118
officialpepe,333534411,,Pepe,3541574,497
RachelZoe,30704824,thezoereport.com,Rachel Zoe,3539896,16526
FinallyMario,1432977446,,Mario Balotelli,3528401,1217
PearlJam,15155074,pearljam.com,Pearl Jam,3518681,9365
ChrisMoyles,19982092,youtube.com,Chris Moyles,3515659,14491
JohnBishop100,46345843,johnbishoponline.com,John Bishop,3496100,11224
MarthaStewart,21324258,themarthablog.com,Martha Stewart,3485660,9665
jhongsample,190955393,,Jhong hilario,3482930,13559
handeyener,156954768,handeyener.com,Hande Yener,3480770,65903
JAlvarezFlow,86962432,youtu.be,J Alvarez Flow,3457564,72767
henrylau89,131264923,,Henry Lau,3451513,1862
rialjorge,124779370,,JORGE RIAL,3432451,86907
questlove,14939981,itunes.apple.com,Questlove Gomez,3430121,81456
deadmau5,22412376,live.deadmau5.com,deadmau5,3417943,43786
Caitlyn_Jenner,3303293865,caitlynjenner.com,Caitlyn Jenner,3417392,1021
michkeegan,221122127,,michelle keegan,3414732,11128
OfficialWillow,185739738,ketsuktiam.tumblr.com,Willy,3409069,1381
Podolski10,19596687,strassenkicker.com,Lukas-Podolski.com,3404893,8816
cerati,8273632,cerati.com,Gustavo Cerati,3402396,662
jackybrv,58538830,jackybracamontes.com,JACKY BRACAMONTES,3398642,11523
OficialGio,574511063,oficialgio.com,Giovani Dos Santos,3398581,1679
cortezrafa,47263956,rafaelcortez.com,Rafael Cortez,3397287,10830
Hadise,46357464,twist.com.tr,HADISE ACIKGOZ,3395627,6460
LizGillies,36704352,youtube.com,Elizabeth Gillies,3390021,13848
KellyOsbourne,41229669,kellyosbourne.com,Kelly Osbourne,3389447,16113
lopezandres,33905807,AndresLopez.com,Andres Lopez Forero,3386481,29868
andreolifelipe,34461692,felipeandreoli.net,Felipe Andreoli,3380662,29930
jimjonescapo,21705616,capolife.com,Jim Jones ,3379062,19950
xtianbautista,25954814,christianbautistaonline.com,Christian Bautista,3344427,26552
RobertsEmma,27678749,,Emma Roberts,3333582,7212
TheRealMikeEpps,38802447,mikeepps.com,Mike Epps,3320192,36624
NathanFillion,31353077,,Nathan Fillion,3317351,12001
bigtimerush,79536438,btrband.com,Big Time Rush,3312710,1072
joelmchale,14506253,joelmchaleonline.com,Joel McHale,3304680,8206
LaraDutta,66334209,mylaradutta.com,Lara Dutta Bhupathi,3297386,5079
SSantiagosegura,105451020,,Santiago Segura,3292778,55943
D_Ospina1,1471068170,,David Ospina,3291703,484
vazqueznico,128958788,agenciafarrell.com,Nicolas Vazquez,3290092,22214
DAVID_LYNCH,15962096,davidlynch.com,David Lynch,3282851,919
EspinozaOficial,146200269,espinozapaz.com,Espinoza Paz,3276215,9268
ochocinco,40519997,ocnnreport.com,Chad Johnson,3271373,175569
AnselElgort,216201838,,Ansel Elgort,3261672,1985
4everBrandy,27406401,,The Next Brandy,3261143,20636
AdnanAlarour,271890651,islamwasat.com,عدنان العرعور,3251606,9048
noaheverett,13058232,pingly.com,Noah Everett,3248973,9225
JimGaffigan,6539592,jimgaffigan.com,Jim Gaffigan,3244071,20823
MCHammer,6273552,alchemistmgmt.com,MC HAMMER,3235118,102900
YALINonline,22924311,yalinonline.com,Yalın,3232903,2078
JodiStaMaria,113603164,,Jodi Sta.Maria,3223245,14580
jotaquest,15104212,jotaquest.com.br,Jota Quest Oficial,3214288,29856
DeepakChopra,15588657,deepakchopra.com,Deepak Chopra,3207125,82185
TomFelton,22548403,,Tom Felton,3196613,10426
MrJamesMay,92727851,,James May,3196395,12797
KeshaRose,26090319,smarturl.it,kesha ,3191482,8081
McIlroyRory,188039706,rorymcilroy.com,Rory Mcilroy,3188944,3600
emreaydin,69293780,emreaydin.org,Emre Aydın,3179733,5857
andrescepeda,146985042,andrescepeda.com.co,Andrés Cepeda,3174681,17998
JoshDevineDrums,112289040,,Josh Devine,3174214,12208
TonyRobbins,17266725,tonyrobbins.com,Tony Robbins,3173608,11647
OneRepublic,21133007,onerepublic.com,OneRepublic,3172743,15285
cala,28058878,ismaelcala.com,Ismael Cala,3167382,101446
robertmarion,62216533,,Robi Domingo,3164564,9355
germanpaoloski,117251043,,German Paoloski,3163050,29538
ActorLeeMinHo,161419220,,Lee Min Ho,3158493,841
BoAkwon,169927844,,BoA,3144568,2094
galifianakisz,36686415,zachgalifianakis.com,zach galifianakis,3133130,107
JoeyEssex_,250090860,FuseyOfficial.com,Joey Essex,3124333,24741
MrPeterAndre,24086418,peterandre.com,Peter Andre,3122593,14581
pattiemallette,19679611,pattiemallette.com,Pattie Mallette,3120162,6722
lancearmstrong,16727535,mellowjohnnys.com,Lance Armstrong,3116657,13379
desta80s,45556398,id.m.wikipedia.org,Deddy Mahendra Desta,3111302,9756
EmilyOsment,21323673,emilyosmentofficial.com,Emily Osment,3109154,9243
kojiharunyan,135064055,,小嶋 陽菜,3107725,13175
ninagarcia,158128894,ninagarcia.com,Nina Garcia,3105467,36924
ThatKevinSmith,14681605,smodcast.com,KevinSmith,3090223,38112
DennyCagur,78223605,bit.ly,Denny Cagur ,3088013,27603
JENNIWOWW,93935921,jennifarley.com,JWOWW,3083365,29136
alo_oficial,507672047,fernandoalonso.com,Fernando Alonso,3072137,8755
RichardHammond,243662948,thehamsterscage.co.uk,Richard Hammond,3069058,2843
robdyrdek,14622632,robdyrdek.com,Rob Dyrdek,3062101,9694
XianLimm,264058981,xianlimm.com,XIAN LIM,3061729,22350
woodyinho,361150095,marcoreus.de,Marco Reus,3059986,272
FrencHMonTanA,18653699,frenchmontanamusic.com,French Montana,3038140,32451
iloveruffag,55753842,iloveruffag.com,Ruffa Gutierrez,3032927,50151
OscarFilho,9255842,bit.ly,Oscar Filho,3026112,14669
drdre,28209292,drdre.com,Dr. Dre,3007518,169
masason,99008565,softbank.co.jp,孫正義,3007253,6110
shaymitch,21219827,us.macmillan.com,Shay Mitchell,3007200,23239
sertaberener,32062132,sertab.com,Sertab Erener,3006993,5228
FatinSL,967748192,fatinsl.com,Fatin Shidqia Lubis,3000187,10472
officialtulisa,109705251,,Tulisa Contostavlos,2995673,8785
VincentKompany,436702610,,Vincent Kompany,2988496,2435
NellyFurtado,50751556,nellyfurtado.com,Nelly Furtado,2977328,90
Yusuf_Mansur,305935546,yusufmansur.com,Yusuf Mansur,2970935,5467
GiulianaRancic,21681809,giulianarancic.com,Giuliana Rancic,2969983,19227
willylevy29,153295172,,william levy,2964171,4509
